x1,x2,x3,x4,t
-8.763872,-7.394976,29.033739,-63.311859,1.050000
-8.625880,-7.237709,28.897350,-63.736732,1.060000
-8.486787,-7.095778,28.741902,-64.097315,1.070000
-8.348205,-6.970135,28.569603,-64.398965,1.080000
-8.211670,-6.861453,28.382710,-64.647275,1.090000
-8.078625,-6.770154,28.183494,-64.847960,1.100000
-7.950402,-6.696434,27.974205,-65.006759,1.110000
-7.828217,-6.640299,27.757049,-65.129360,1.120000
-7.713162,-6.601589,27.534165,-65.221324,1.130000
-7.606203,-6.580012,27.307617,-65.288037,1.140000
-7.508183,-6.575169,27.079382,-65.334670,1.150000
-7.419820,-6.586580,26.851349,-65.366153,1.160000
-7.341717,-6.613704,26.625320,-65.387161,1.170000
-7.274364,-6.655955,26.403009,-65.402105,1.180000
-7.218148,-6.712718,26.186048,-65.415135,1.190000
-7.173359,-6.783353,25.975995,-65.430146,1.200000
-7.140200,-6.867209,25.774335,-65.450793,1.210000
-7.118788,-6.963618,25.582493,-65.480497,1.220000
-7.109168,-7.071901,25.401832,-65.522470,1.230000
-7.111315,-7.191361,25.233664,-65.579724,1.240000
-7.125137,-7.321275,25.079249,-65.655087,1.250000
-7.150482,-7.460893,24.939802,-65.751221,1.260000
-7.187139,-7.609423,24.816487,-65.870629,1.270000
-7.234840,-7.766021,24.710419,-66.015665,1.280000
-7.293257,-7.929780,24.622660,-66.188540,1.290000
-7.362006,-8.099720,24.554212,-66.391321,1.300000
-7.440641,-8.274772,24.506004,-66.625930,1.310000
-7.528651,-8.453770,24.478885,-66.894132,1.320000
-7.625460,-8.635438,24.473605,-67.197522,1.330000
-7.730418,-8.818385,24.490800,-67.537504,1.340000
-7.842798,-9.001096,24.530966,-67.915263,1.350000
-7.961794,-9.181934,24.594440,-68.331733,1.360000
-8.086514,-9.359138,24.681372,-68.787555,1.370000
-8.215977,-9.530830,24.791696,-69.283030,1.380000
-8.349112,-9.695033,24.925103,-69.818068,1.390000
-8.484759,-9.849684,25.081013,-70.392134,1.400000
-8.621666,-9.992665,25.258547,-71.004184,1.410000
-8.758500,-10.121835,25.456502,-71.652612,1.420000
-8.893851,-10.235073,25.673336,-72.335190,1.430000
-9.026243,-10.330325,25.907150,-73.049022,1.440000
-9.154152,-10.405660,26.155691,-73.790505,1.450000
-9.276023,-10.459326,26.416354,-74.555305,1.460000
-9.390293,-10.489816,26.686206,-75.338357,1.470000
-9.495419,-10.495923,26.962015,-76.133887,1.480000
-9.589907,-10.476803,27.240298,-76.935459,1.490000
